CPU_GPU_Testing_Start - 2024-04-05-15:24:01
date,gpu_temp,fan_speed,pwm_value,watt
2024-04-05-15:24:02,57,3729,51,55.90
2024-04-05-15:24:05,60,3658,72,236.53
2024-04-05-15:24:07,64,5152,102,242.96
2024-04-05-15:24:09,66,7219,116,248.38
2024-04-05-15:24:11,66,8132,116,248.28
2024-04-05-15:24:13,67,8083,123,237.87
2024-04-05-15:24:15,67,8544,123,245.33
2024-04-05-15:24:18,68,8490,131,236.83
2024-04-05-15:24:20,69,9121,138,245.64
2024-04-05-15:24:22,69,9375,138,242.76
2024-04-05-15:24:24,69,9375,138,249.82
2024-04-05-15:24:26,70,9375,145,246.77
2024-04-05-15:24:28,70,9926,145,238.16
2024-04-05-15:24:31,70,9854,145,246.97
2024-04-05-15:24:33,71,9712,153,247.74
2024-04-05-15:24:35,71,10227,153,246.16
2024-04-05-15:24:37,71,10305,153,247.90
2024-04-05-15:24:39,71,10305,153,238.08
2024-04-05-15:24:41,71,10384,153,241.89
2024-04-05-15:24:43,72,10465,160,248.41
2024-04-05-15:24:46,72,10714,160,241.91
2024-04-05-15:24:48,72,10800,160,248.51
2024-04-05-15:24:50,72,10714,160,238.95
2024-04-05-15:24:52,72,10546,160,234.99
2024-04-05-15:24:54,72,10800,160,248.12
2024-04-05-15:24:56,72,10800,160,246.79
2024-04-05-15:24:59,72,10975,160,248.86
2024-04-05-15:25:01,72,10887,160,248.99
2024-04-05-15:25:03,72,10887,160,242.18
2024-04-05-15:25:05,72,10629,160,247.74
2024-04-05-15:25:07,73,10629,167,248.02
2024-04-05-15:25:09,73,11250,167,248.89
2024-04-05-15:25:11,73,11157,167,249.37
2024-04-05-15:25:14,73,11250,167,211.98
2024-04-05-15:25:16,73,11157,167,243.33
2024-04-05-15:25:18,73,11065,167,248.99
2024-04-05-15:25:20,73,10887,167,249.66
2024-04-05-15:25:22,73,10975,167,243.44
2024-04-05-15:25:24,73,10975,167,243.72
2024-04-05-15:25:27,73,11250,167,246.71
2024-04-05-15:25:29,73,11250,167,243.80
2024-04-05-15:25:31,73,10887,167,249.63
2024-04-05-15:25:33,73,11065,167,239.91
2024-04-05-15:25:35,73,11157,167,249.47
2024-04-05-15:25:38,73,11065,167,242.74
2024-04-05-15:25:40,73,11157,167,238.92
2024-04-05-15:25:42,73,10975,167,236.34
2024-04-05-15:25:44,73,10887,167,238.95
2024-04-05-15:25:46,73,11065,167,246.70
2024-04-05-15:25:48,73,10975,167,242.94
2024-04-05-15:25:51,73,11157,167,249.56
2024-04-05-15:25:53,73,11250,167,242.97
2024-04-05-15:25:55,73,11344,167,234.99
2024-04-05-15:25:57,73,11250,167,236.15
2024-04-05-15:25:59,74,10975,174,249.85
2024-04-05-15:26:01,73,11344,167,235.48
2024-04-05-15:26:03,73,10887,167,250.21
2024-04-05-15:26:06,73,10975,167,248.76
2024-04-05-15:26:08,73,11157,167,245.63
2024-04-05-15:26:10,73,10975,167,249.66
2024-04-05-15:26:12,73,11250,167,233.15
2024-04-05-15:26:14,73,11065,167,248.03
2024-04-05-15:26:17,73,10975,167,242.84
2024-04-05-15:26:19,73,11344,167,236.25
2024-04-05-15:26:21,73,10887,167,230.01
2024-04-05-15:26:23,74,11157,174,248.74
2024-04-05-15:26:25,73,11250,167,238.44
2024-04-05-15:26:27,73,11157,167,250.30
2024-04-05-15:26:30,73,11157,167,250.21
2024-04-05-15:26:32,74,10975,174,227.71
2024-04-05-15:26:34,73,11344,167,244.86
2024-04-05-15:26:36,73,10887,167,240.91
2024-04-05-15:26:38,73,11065,167,240.00
2024-04-05-15:26:41,74,10887,174,234.14
2024-04-05-15:26:43,73,11250,167,239.32
2024-04-05-15:26:45,73,10975,167,243.32
2024-04-05-15:26:47,73,10887,167,236.44
2024-04-05-15:26:49,74,10975,174,224.16
2024-04-05-15:26:51,73,11538,167,238.36
2024-04-05-15:26:53,73,11065,167,249.95
2024-04-05-15:26:56,73,10975,167,248.79
2024-04-05-15:26:58,74,10887,174,243.51
2024-04-05-15:27:00,73,11344,167,226.59
2024-04-05-15:27:02,73,10975,167,229.63
2024-04-05-15:27:04,73,10800,167,239.57
2024-04-05-15:27:07,74,11250,174,231.07
2024-04-05-15:27:09,74,11440,174,225.98
2024-04-05-15:27:11,73,11637,167,239.67
2024-04-05-15:27:13,74,10887,174,240.10
2024-04-05-15:27:15,73,11250,167,242.87
2024-04-05-15:27:17,74,10975,174,222.81
2024-04-05-15:27:20,74,11250,174,235.07
2024-04-05-15:27:22,74,11538,174,250.09
2024-04-05-15:27:24,73,11637,167,242.93
2024-04-05-15:27:26,73,11250,167,231.65
2024-04-05-15:27:28,73,11157,167,229.93
