Running for 600.0 seconds (600 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
14:49:18   0.4   0.0   0.2  99.4   0.0    1   5084    728    6    6    6  34.88 
14:49:19   0.0   0.0   0.1  99.9   0.0    1    415    270    3    2    3  34.34 
14:49:20   0.3   0.0   0.3  99.4   0.0    1   5070    801    6    6    6  34.80 
14:49:21   0.0   0.0   0.1  99.8   0.0    1    397    275    3    2    3  34.50 
14:49:22   0.2   0.0   0.6  99.2   0.0    1   5474    732   20   16   20  35.17 
14:49:23   0.0   0.0   0.1  99.9   0.0    1    439    340    3    2    3  34.32 
14:49:24   0.0   0.0   0.0 100.0   0.0    1    296    188    0    0    0  34.34 
14:49:25   0.3   0.0   0.3  99.4   0.0    1   5151    795    9    8    9  34.98 
14:49:26   0.0   0.0   0.1  99.9   0.0    1    247    183    0    0    0  34.34 
14:49:27   0.3   0.0   0.8  98.9   0.0    1   5536    841   19   16   19  35.06 
14:49:28   0.0   0.0   0.0 100.0   0.0    1    235    209    0    0    0  34.54 
14:49:29   0.2   0.0   0.3  99.5   0.0    1   5238    646    9    8    9  34.58 
14:49:30   0.0   0.0   0.0  99.9   0.0    1    348    254    0    0    0  34.28 
14:49:31   0.3   0.0   0.2  99.5   0.0    3   5014    684    9    8    3  34.84 
14:49:32   0.1   0.0   0.6  99.3   0.0    1    726    599   14   10   20  34.98 
14:49:33   0.0   0.0   0.0 100.0   0.0    1    274    211    0    0    0  34.21 
14:49:34   0.3   0.0   0.2  99.5   0.0    1   5139    683    9    8    9  34.87 
14:49:35   0.0   0.0   0.0  99.9   0.0    1    355    245    0    0    0  34.56 
14:49:36   0.1   0.0   0.3  99.6   0.0    1   5233    787    9    8    9  34.69 
14:49:37   0.0   0.0   0.5  99.5   0.0    1    524    325   10    8   10  34.47 
14:49:38   0.3   0.0   0.3  99.4   0.0    1   5171    777    9    8    9  34.69 
14:49:39   0.0   0.0   0.1  99.9   0.0    1    319    225    0    0    0  34.19 
14:49:40   0.2   0.0   0.2  99.5   0.0    2   5057    602    7    5    6  34.71 
14:49:41   0.0   0.0   0.1  99.9   0.0    1    322    252    2    3    3  34.37 
14:49:42   0.0   0.0   0.6  99.4   0.0    1    790    614   17   12   17  34.89 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
14:49:43   0.2   0.0   0.2  99.7   0.0    1   5142    746    6    6    6  34.63 
14:49:44   0.0   0.0   0.1  99.9   0.0    1    412    261    3    2    3  34.08 
14:49:45   0.3   0.0   0.3  99.5   0.0    1   5112    692    6    6    6  34.93 
14:49:46   0.0   0.0   0.1  99.9   0.0    1    354    250    3    2    3  34.07 
14:49:47   0.3   0.0   0.7  99.0   0.0    1   5338    889   16   14   16  35.05 
14:49:48   0.0   0.0   0.1  99.8   0.0    1    446    301    3    2    3  34.19 
14:49:49   0.0   0.0   0.1  99.9   0.0    2   4998    570    3    3    3  34.36 
14:49:50   0.0   0.0   0.2  99.8   0.0    1    522    374    6    5    6  34.34 
14:49:51   0.0   0.0   0.0  99.9   0.0    1    298    221    0    0    0  34.09 
14:49:52   0.3   0.0   0.8  98.9   0.0    1   5441   1006   23   18   23  35.11 
14:49:53   0.0   0.0   0.0 100.0   0.0    1    292    214    0    0    0  34.29 
14:49:54   0.2   0.0   0.4  99.4   0.0    1   5169    878    9    8    9  34.88 
14:49:55   0.0   0.0   0.0 100.0   0.0    1    391    288    2    0    0  34.06 
14:49:56   0.2   0.0   0.3  99.6   0.0    1   5250    834    9    8    9  34.76 
14:49:57   0.0   0.0   0.3  99.7   0.0    2    357    257    2    2    2  34.27 
14:49:58   0.3   0.0   0.4  99.3   0.0    2   3942    704   14   11   14  34.68 
14:49:59   0.0   0.0   0.2  99.8   0.0    1   1696    434    3    3    3  34.43 
14:50:00   0.0   0.0   0.1  99.9   0.0    1    496    317    3    2    3  34.39 
14:50:01   0.3   0.0   0.2  99.5   0.0    1   4967    635    6    6    6  34.92 
14:50:02   0.0   0.0   0.5  99.5   0.0    1    453    373    7    4    7  34.89 
14:50:03   0.2   0.0   0.3  99.5   0.0    1   5480    947   16   14   16  34.93 
14:50:04   0.0   0.0   0.1  99.9   0.0    1    392    251    3    2    3  34.46 
14:50:05   0.3   0.0   0.3  99.5   0.0    1   5040    701    6    6    6  34.75 
14:50:06   0.0   0.0   0.0 100.0   0.0    2    443    282    3    2    3  34.43 
